1	0	A	Basketball	My friend is the best basketball player I know. ___ been playing for years.	She has	He has	They have
2	0	B	Golf	My friend is the best golfer I know. ___ been playing for years.	She has	He has	They have
3	0	C	Soccer	My friend is the best soccer player I know. ___ been playing for years.	She has	He has	They have
4	0	D	Volleyball	My friend is the best volleyball player I know. ___ been playing for years.	She has	He has	They have
5	0	E	Football	My friend is the best football player I know. ___ been playing for years.	She has	He has	They have
6	0	F	Tennis	My friend is the best tennis player I know. ___ been playing for years.	She has	He has	They have
7	0	G	Gymnastics	My friend is the best gymnast I know. ___ been practicing for years.	She has	He has	They have
8	0	H	Swimming	My friend is the best swimmer I know. ___ been swimming for years.	She has	He has	They have
9	0	I	Cheerleading	My friend is the best cheerleader I know. ___ been cheering for years.	She has	He has	They have
10	0	J	Dance	My friend is the best dancer I know. ___ been dancing for years.	She has	He has	They have
11	0	K	Ballet Dance	My friend is the best ballet dancer I know. ___ been dancing ballet for years.	She has	He has	They have
12	0	L	Wrestling	My friend is the best wrestler I know. ___ been wrestling for years.	She has	He has	They have
13	1	A	Basketball	My friend is the worst basketball player I know. ___ never played.	She has	He has	They have
14	1	B	Golf	My friend is the worst golfer I know. ___ never played.	She has	He has	They have
15	1	C	Soccer	My friend is the worst soccer player I know. ___ never played.	She has	He has	They have
16	1	D	Volleyball	My friend is the worst volleyball player I know. ___ never played.	She has	He has	They have
17	1	E	Football	My friend is the worst football player I know. ___ never played.	She has	He has	They have
18	1	F	Tennis	My friend is the worst tennis player I know. ___ never played.	She has	He has	They have
19	1	G	Gymnastics	My friend is the worst gymnast I know. ___ never done gymnastics.	She has	He has	They have
20	1	H	Swimming	My friend is the worst swimmer I know. ___ never swam.	She has	He has	They have
21	1	I	Cheerleading	My friend is the worst cheerleader I know. ___ never cheerleaded.	She has	He has	They have
22	1	J	Dance	My friend is the worst dancer I know. ___ never danced.	She has	He has	They have
23	1	K	Ballet Dance	My friend is the worst ballet dancer I know. ___ never danced.	She has	He has	They have
24	1	L	Wrestling	My friend is the worst wrestler I know. ___ never wrestled.	She has	He has	They have
25	2	A	Basketball	___ started playing basketball in first grade.	He	She	They
26	2	B	Golf	___ started golfing in first grade.	He	She	They
27	2	C	Soccer	___ started playing soccer in first grade.	He	She	They
28	2	D	Volleyball	___ started playing volleyball in first grade.	He	She	They
29	2	E	Football	___ started playing football in first grade.	He	She	They
30	2	F	Tennis	___ started playing tennis in first grade.	He	She	They
31	2	G	Gymnastics	___ started practicing gymnastics in first grade.	He	She	They
32	2	H	Swimming	___ started swimming in first grade.	He	She	They
33	2	I	Cheerleading	___ started cheerleading in first grade.	He	She	They
34	2	J	Dance	___ started dancing in first grade.	He	She	They
35	2	K	Ballet Dance	___ started dancing ballet in first grade.	He	She	They
36	2	L	Wrestling	___ started wrestling in first grade.	He	She	They
